score,category,uid,gender,age,text
5,Fashion Accessories,1795833,F,20,Yes Style has always provided me with the best and updated fashions . From each season there are always sales and plenty of sizes and colors to choose from .
5,Car Rental,990839,M,42,"Actually found the same price at CarRentals . com but RentalCars . com gives a 0 % rebate through Mr . The nice lady at Enterprise gave us a free upgrade from the Ford Focus ( Economy ) to a brand new Chrysler 000 ( Midsize ). Total cost for one week in Jacksonville was $ 000 . 00 . We were also able to add my wife as a driver for no additional charge . I have always returned rental cars full in the past , but the price they offered was less , so I figured why not . I wondered if there was a catch as the price was 00 cents a gallon less than on the street , but the lady said there were no other charges . Well , it turned out the lady did not fully explain it and when we dropped off they were going to charge for a full tank while there was more than a quarter tank left . I spoke to another nice lady in the rental office and she adjusted it to accurately reflect the fuel remaining . Excellent overall and I will definitely us both RentalCars . com and Enterprise again in the future ."
5,Non-bank Finance,3805615,F,25,I had a surprise move come out of no where and I needed some quick cash !
4,Fashion Accessories,2243323,M,26,YesStyle provies users with an array of fashion options from multiple companies and countries . Their service only gets better with time and the only issue I have with them is it can take a couple weeks to get a shipment but that ' s what happens when you ' re shipping across oceans and countries .
5,Hairdresser,2282177,F,24,"I accidentally found UKHairdressers . com by accident whilst searching for a product to help keep my red hair vibrant in between salon visits . Now that I have I ' ll never look back ! They have the best range of products from the best brands all in one place . They also offer the best prices and are a far far cheaper alternative to buying your products direct from the salon ( thank god !) And then to top it all off , the postage is free ( wow !!) and my product arrived practically the next day - what excellent service . Would highly recommend this website to all of my friends and family ."
5,Fitness & Nutrition,584326,M,28,First time buyer on supplement warehouse and was impressed with the prices !
5,Golf Course,4463068,M,30,"Not only do I use it for my local course in Ohio , but I also use it to try different courses in the area . I work in retail and I recommend golf 00 to all my golfing customers . Golf 00 network hands down is the best in discount tee times !!"
5,Hotels,1048058,M,32,"User friendly , best rates , good ' narrow - down ' options , quick booking even if not a member ( on repeat bookings )"
5,Fitness & Nutrition,1354475,M,19,"i ' ve been using supplement warehouse now for several years and i have to say you can ' t beat the prices , even with the shipping included . there are more options for brands , supplements , and serving sizes than i ' ve ever seen . love using this site , very trustworthy and when product ships it has always reached me within 0 days !"
5,Fashion Accessories,1871286,F,19,There are also awesome and beautiful products at great prices !!
5,Fitness & Nutrition,1272311,M,38,"Supplement Warehouse is the first place I go to when I need to restock on supplements . The things I love about them is the FREE stuff , the great pricing , the price match , and the ridiculously fast shipping . It never fails , but when I order something , I usually don ' t expect to see it for a few days , but low and behold every time , it arrives a day or 0 faster than I expect . I love companies that process orders correctly , and deliver on time , and Supplement Warehouse has delivered over and over again ."
5,Public Services,5545041,M,40,"I always get the best info regarding the newest tech , finances , lifestyle and more when I go to NextAdvisor . com . I subscribe to the daily emails , which always has an array of various topics covered , from how to use a PayDay Advance , to what ' s the best AntiVirus software for my computer . I ' ve never been steered wrong with NextAdvisor ."
1,Fitness & Nutrition,3566992,F,19,"Good morning , I would know how long it will take yet ? the application number 000000000 and the number of screening GM000000000000000000 ."
5,Tires,2743158,M,47,"Gareth and Angela of eTyres Cardiff gave great advice about my tyre options , worked with me to source the best brand and model for my needs and then fitted them at home at a time to suit me - all for a fully inclusive price . I would recommend eTyres to anyone who wants to avoid the hassle of waiting at a tyre retailer without paying extra for the privilege of a very personal service ."
5,Jewelry,2743158,M,46,"What a pleasure to do business with you - no trudging round shops for hours , ample choice and a fast and efficient delivery with the products in individual branded wrapping paper - and to top it all a couple of free chocolates included - very impressed ."
5,Webdesign,1836405,F,40,"I worked with web designer Dino Lau with Hot Doodle on my web design and I am extremely happy with my experience working with Dino and the final product Dino delivered . Dino is patient , talented , resourceful , and he listened to my needs , responded quickly to all my requests , and went the extra mile to make me a happy customer . Dino helped me realized my vision of the look and feel of my website . I am grateful for his work and I highly recommend him to anyone who wants a professional website ."
5,Musical instruments,6496781,M,55,"In two months time , I ' ve learned to play three full songs . The lessons are easy to follow and the teachers seem to really enjoy what they are doing . I had raised a concern about the number of new lessons and a member of the team was very responsive to my needs . I now understand that new lessons are added frequently ."
5,Fitness & Nutrition,694516,F,46,"I try to find the best price for the product I am interested in and they beat every time ! It would be very nice if they offered free shipping sometimes because that is the only reason I will go to a different site !! And now , you need to add a new product called DFine0 , great stuff !"
5,Conference Call,1653798,F,20,Skype is my and all my family favorite to talk to chat and to share video . This make my family one unit . Voice and video quality is second to none . I love this software . You also get Skype to change your world of interaction .
5,Glasses,704919,F,32,I purchased two sunglasses for one classic metal aviator other one wayfarer for my vacation . They were UV000 protected and had nice built quality . Website easy to navigate and organized based on men and women glasses .
5,Beauty and Wellness,2975639,F,46,"I wanted to give for my father a present for birthday . Excuse me , but I have trouble writing in english properly , I ve been t o schoool for a long time . I m very satisfied with this make up , my father withhis perfume . See you soon , Miss and Mr for a other order ."
5,Fitness & Nutrition,769639,M,49,"Best prices , thank you for your excellent service !"
5,Fitness & Nutrition,572427,M,29,"Always have what I am looking for , and great prices . Too busy to go to stores and this website is answer to my problem !"
4,Kids,800246,F,41,"The package came earlier than the expected date of delivery . However , the wig that came with it is very fragile and almost falling apart ."
5,Gallery,5769524,F,34,"The painting I ordered for my living room was delivered today . Though I am not a big fan of reproductions in general , I decided to go for the Dance at Bougival ( artist , Pierre Auguste Renoir ) reproduction since I absolutely love that piece of art . I was a bit unsure earlier but now that I see it , I realize that this is a beautifully done piece and I really wish to congratulate the artist on his immaculate attention to detail . I will order a graffiti piece for my teenager ’ s room next ."
5,Fitness & Nutrition,5769524,F,34,"I first came across some supplements from Sports Food on amazon . com while idly browsing for some weight loss options for myself . I googled them and sure enough , I found their site . After a few minutes into browsing the site , I decided to try out their green tea since it is one of the safest products available for weight loss and nowadays everyone seems to be using it . I was not exactly expecting great results but it worked for me . Not only did I lose 0 . 0 pounds in the first two weeks , more importantly it made me much more alert and energetic which is a big thing for a mother of 0 young kids . Since the product was moderately priced it was perfect for a trial and when it worked for me , I also introduced my husband to it . Once he had lost a few measly pounds , he took the big plunge and decided he would go head - on into dieting and muscle building so that his flab can once again faintly resemble a stomach . Accordingly , he is planning to order few muscle building supplements once he has lost some more weight and settled into a good gym routine . We also tried their Fat burner which was on a special offer . Though it did not suit me much since my digestive system could not take it , my husband found it to be extremely effective . I am happy with the slow and steady green tea and would recommend Sports Food products to anyone who is looking to lose weight . Their website is easy to browse and their selection of products just perfect – not too few , yet not so many that you get lost in the details . The product are usually dispatched the same day and reaches within 0 - 0 days ."
5,Cell phone Recycling,1441088,M,25,Sent phone Next Day Delivery on a Wednesday and money was in the bank on Thursday ! I work in eCommerce and am vary rarely impressed ( or leave reviews ); but well done .
5,Fitness & Nutrition,810858,F,37,"These guys ship fast , have the best pricing on bsn and gives you free stuff ."
1,Fashion Accessories,3001403,F,44,"I Placed an order in Nov 0000 ... Nov 00th I received an email stating my order had shipped . Today is Jan 00th 0000 and i am still waiting for my delivery . i have sent numerous emails , faxes and unanswered phone calls ."
1,Fitness & Nutrition,1172253,F,56,"I place my first order on Sunday , 00 / 00 / 0000 . Today is Wednesday , 00 / 00 / 0000 . Only now do they decide to ship my order out to me ! The time it will take to ship my order via ' SmartPost ' still remains to be seen so , this is still an undecided total failure to me . All in all , a very dissatisfactory transaction for me . I suppose that I ' ve been completely spoiled by ' Amazon Prime ' s ' efficient shipping methods ."
5,Pets,1172253,F,56,"* This review is in reference to the "" Blue Buffalo Wilderness Grain - Free Salmon Recipe Natural Revolutionary Diet "", which I found on your website 0 months ago for the low price of $ 00 . 00 each , w / free s + h . I also received the added incentive of $ 00 . 00 off the order when I signed up for the ' Auto - Ship ' program . Not only did my first order arrive in lightning - speed time , ( less than 00 hours from when the order was placed ), it also boasts of a generous ' Expiration Date ' of over 0 year ' s time , but I paid far less per bag than even Amazon . com has ever offered to me ! Looks like you ' ll have a loyal customer for some time to come . "" When I met my last rescue pet , Dixie , approximately 0 . 0 years ago , she was a real mess -- both externally and internally . She exhibited a nervous condition ( G . E . R . D .) that my vet said was due to her previous horrendous living conditions ; that is to say , that everything that went down her goozle promptly came right back up ! She was painfully emaciated , skeletal almost , and her blood - work was all over the place . So , after a round of IV fluids and 0 small bags of the ' Science Diet ' chow , Dixie came home with me to recuperate and to learn how to live in a loving home . The first thing I did was to research which pet foods would address her particular condition ; I knew that I didn ' t want to keep her on the ' Science Diet ' regimen -- it ' s too full of ingredients which I feel don ' t belong in a proper diet for dogs . Lo ' and behold , I stumbled upon the "" Blue Buffalo Wilderness "" formula for dogs . It seemed like a good fit , due to all of the proper ratios ( protein / fat ) and is totally "" GRAIN - FREE "". The rest , as they say , is history .... 0 . 0 years later , Dixie now weighs in at approximately 00 loving , happy pounds of my friendly and well - adjusted best friend ."""
5,Gaming,7404907,M,33,"Everything went smoothly i had a question about the order and got a response in like 00 minutes , costumer service was excellent the keys were delivered with a reasonable amount of time and all 0 games i ordered activated perfectly ."
5,Camping,2635242,M,51,"Easy website to navigate , great prices , clear stock levels ."
5,Camping,2635242,M,49,Have used many times & they never fail to amaze . Super quick delivery & the best service of any internet supplier .
5,Fitness & Nutrition,1206459,M,28,i found that they do price match and beat i liked ordering with this company . i also just have to add check your order i received everything i paid for but not most of the free stuff . i didnt complain cause its all ok but i placed another order and this time i want all the free stuff hope i get it !
5,Tires,4948057,M,52,"This company do what they say - I ' ve used them several times and they come when they say they will and do the job . I had a problem this time whereby the tyres I purchased weren ' t in stock so they rang me and offered alternatives . Once I ' d chosen a new tyre , a new fitting date was agreed ."
5,Airport Parking,4948057,M,52,Picked up and dropped off at the airport short - stay car park .
2,Cell Phone Unlocking,3442861,M,25,"Book my order for Sprint iphone 0 unlock last December 00 , 0000 , and until now they cannot deliver the service they promised . I think 0 months of waiting time is already too long , that ' s why im crying foul . I ' m still crossing my fingers they can get the job done . As for now , i am not recommending your service to any one ."
5,Fitness & Nutrition,943869,M,22,The discounts and offers that run daily add excellent opportunities to try new products before risking larger purchases .
4,Tour Operator,3243011,M,29,"We were quite happy with Viator ' s offerings . The only issues we had were that because we were staying in an apartment through AirBnB it meant that we actually had to travel to get to Viator ' s limited pickup zones , so basically any savings we made going via AirBnB were negated by the taxi ride to the pickup zones . Also , one of the bus trips were a bit clunky , we had to get off and wait for a second mini bus to get to San Diego . The bus took a lot longer than expected , but the driver was great and even made the effort to locate our hostel . These were just a couple of things of note , but overall it was a great service which I hope to use once again on my upcoming trips ."
5,Shoes,3063662,F,60,"the other reviews were mostly good , and the prices seem very reasonable ."
4,Non-bank Finance,2413624,M,50,"I fill out application online , received approval in 0 minutes ."
5,Electronic Cigarette,3815836,M,21,I was truly impressed by the price of the Vamo kit it was exactly as described ! I was not happy with the tank that came with the kit due to the air hole being on the 000 screw thread . I was extremely impressed by the delivery time as I ordered my vamo Friday morning and it arrived Saturday morning . I would definitely recommend Vapertrain to friends and other ecig users !
5,Fashion Accessories,1683897,F,17,"I ' m always impressed with Yesstyle ; besides having the cutest clothes , they have fast service and very reasonable shipping when you think about the fact that it comes from another continent . I ' ve never had any issues with shipping or products and I ' m always excited to see a package from them in my mailbox :)"
5,Fashion Accessories,1489946,F,23,I ' ve ordered from yesstyle before and I am very pleased with them !
1,Flights,7223918,F,27,"I have had issues rebooking my flight , actually being able to speak with someone , and so far have still not gotten it fixed after being transferred to several people . I will never purchase anything through them ever again . The only way this is being resolved is by United which has had wonderful support ."
5,Fitness & Nutrition,1117642,M,29,I do love this company they have the best prices on all of the supplements I use the only thing i dont like is high shipping costs when shipped to afghanistan since I am a deployed soldier .
2,Flowers,3407959,F,37,"Delivered the flowers a day late !, the vase and the flowers arrived seperately ?! I reported the problem and received a standard email reply which talked about flowers and not my problem of a broken vase . They did send out a new vase to my mum in law but it was hardly great service and I thought they wud have at least sent the flowers again too as way of an apology ."
5,Security Equipment,4408575,M,30,"He had a fun sense of humor and was very helpful in educating us about the system . Yesterday an hvac came to the house and our dog almost tried to kill him , but Pete had the dog at ease the whole time . I trust her opinion of strangers above my own sometimes . He is clearly a good guy and a pro at his job ."
5,Fashion Accessories,5324728,M,19,Got a lot of gifts from here for my birthday and WOW !! They have the best clothes that match my taste !
4,Fashion Accessories,1463372,F,48,"I ' m always looking for new and innovative style that is different from the majority . Living in the US , we can get stuck in a certain style that is fad following , boring and the same for everyone . The designers from YesStyle provide me with the look i ' m looking for and my husband is enjoying it just as much as i am :)."
5,Fitness & Nutrition,818880,M,26,"My buddy referred me to Supplementwarehouse . com about 0 years ago and it has remained a constant source of muscle building power for me since . I , too , have been a customer of GNC for many years . I still go there , in case , I need to re - up at the snap of the finger , but supplementwarehouse blows GNC out of the water in comparison . The retail prices are nearly cut in half , if not more , and I usually get everything within a couple days . The shipping costs are always an eyesore but overall , this site is the best around ."
5,Fitness & Nutrition,1334504,M,37,"I have used several websites to order my supplements and supplement warehouse is by far the best . The ease of finding what I was looking for was great , the prices were better , but the best part was the price match ! I will definitly be recommending this to my friends !"
5,Fitness & Nutrition,762442,F,52,Had so many deals .. by far the best priced supplements around !
5,Fitness & Nutrition,1202545,M,35,"This is my 0th time ordering in a year and I brag to my wife showing her all the free items I received . If you compare turn around time , prices and free items , Supplement Warehouse cant be beat ."
5,Gaming,1855621,M,27,Key was delivered instantly after easy and fast mobile identification .
5,Fashion Accessories,6546063,M,24,As a guy I ' ve never really been into shopping . Thankfully I found YesStyle and they have really helped my wardrobe tremendously . Every experience with them so far has been great . Even before my first order I emailed customer service with a question and they responded very quickly . I ' m really impressed with everything and can ' t say enough good things about the site .
4,Fashion Accessories,4571539,F,38,"This company has some of the most original clothing I ' ve seen . I almost purchased a khaki jacket at Forever00 , but found a much cooler one here . Love the free shipping to U . S . as well !"
5,Therapy Equipment,5917365,F,53,Alaska Northern light box is one of the best made boxes on the market . I have my light box on my desk and turn it on every morning . I did have a few questions when I first got my light box and their customer service was great ! I have told many friends to purchase this light box and I know several have and LOVE IT !
5,Fitness & Nutrition,4715644,M,24,"Supplement Warehouse is by far the best website to order health and workout supplements from . They have the best prices , with decent shipping costs . Tons of deals and free samples , and your order arrives fast ."
5,Jewelry,7039578,M,46,I ordered a ring and the staff called me and emailed the ring before they ship which was great because I could have chosen the wrong ring and they showed me a better one which I got .
5,Gifts,5922554,M,69,I like the idea of making my own card and able to personalize the card .
5,Cricket,950866,F,35,"Great service , with next day deliver , will definitely shop with them again"
1,Hotels,1397706,F,60,"I booked one room at a great rate but was only allowed to book one at a time . I needed two rooms for my family , but when I immediately went back for the second , the same room had gone up 00 %!"
4,Tires,2648535,M,53,"Great to be able to pick a time to suit me . When the fitter arrived he was quick , polite and did the job well . I would have given five stars if it wasn ' t for the fact I have a wheel wobble at 00mph . I didn ' t have this before so must put it down to wheel balancing . To be fair , I haven ' t been back in touch as I ' m certain etyres would put it right but it should be right 0st time . That said , I would use again and recommend ."
5,Fitness & Nutrition,914184,M,41,"Entering another companies website and their price to get 0 % cheaper seemed too good to be true , but I just placed an order without any hitches . Thank you suuplementwarehouse . com , I ' ll be back !"
5,Other,1055095,M,49,"0 - Not making promises they can ' t keep 0 - What should be rule # 0 , listening to customers 0 - Helpful - even if there ' s no immediate profit in it"
5,Therapy Service,5136692,M,42,"I ' m not only sleeping better but I wake up without the sore neck . I recommend these pillows to all my USA Martial Arts students because I use them and believe in what the company represents . Great for anyone wanting more comfortable and restful sleep . Try a pillow , you ' ll love it !"
5,Fitness & Nutrition,879190,M,33,Had everything I wanted and could find it quickly . Great prices and I know the quality is solid !
5,Car parts,1311066,M,49,"If you want top notch customer service contact Sarina Stacy at 0WD ! Not only will she square your requirement away , she ' ll check back to make sure you ' re completely satisfied . It was a pleasure working with the 0WD staff ! Big "" BRAVO "" for your support to our men and women in uniform !"
5,Electronics,8012940,F,26,Took care of my iPad in a very timely manner .
1,Car lights,2625813,M,70,"Well the only thing good about this company so far was there fast service getting the part to me . The wrong part and they have no way to get hold of them only to fill out a slip which they say they will get back to you . There 0 - 000 free number gives you three choices , but a voice comes on saying there phone calls are so full they can ' t get back to you . If you call there regular number some guy named Buster answers saying he is away from his desk to leave message , but then you find out that his message service is full , so I went to my bank and we are doing this the legal way , and they have so many days to get my refund to me or have legal actions take agaisnt them . If you go online and read the reviews about this company there is no good reviews in there favor , so until I get my refund from them this company SUCKS !"
5,Money,4467236,M,35,I have used them three times to send money to Spain . Each time the money arrived quicker than they originally said and in total I have saved around £ 00 when compared to what my bank charges for international money transfers !
5,Kitchen,5699575,M,30,"Great deals , they have all the equipment you need , ship worldwide and the service is amazing . I always leave the store with a smile in my face ."
5,Travel & Vacation,6351016,F,51,"After being alerted 0 months ahead about a needed change in a villa for our 0 - week stay that was beyond their control , Summer in Italy worked with us to find a wonderful alternative so that we would not be disappointed . Melanie was attentive to the details and our list of "" must haves "" and went above and beyond to make sure we were taken care of . I travel alot and don ' t do very many reviews , but this one was worth mentioning !"
5,Online Marketplace,1606098,M,32,"I ' ve been buying with this guys since 0000 , no problem at all , good quality - price product and the delivery very succesful"
2,Cell Phone Unlocking,2646800,M,27,"I received confirmation via email from myimeiunlock . com that the phone was unlocked . However , I never received a confirmation via iTunes that it was unlocked ("" Congratulations ! In addition , as per their instructions on their site , since I didn ' t automatically get the notification , I attempted to restore the phone from backup ; however , I would get an error message that this device is not "" eligible "" for the restore . I have sent them email after email and message after message and I have never received any kind of response . I will have to take the phone to Apple today and hopefully get another phone ... I wish I didn ' t have to take it to get another phone though ... Choose iPhone / Operator : AT & T 00 - 00 Hours - iPhone 0G / 0GS / 0 / 0S / 0 0"
1,Flights,8144543,F,43,I have been using priceline to get rooms due to relocation for my job . This past week my job told me after I booked a room that they didn ' t need me . I attempted to get a refund for the room I booked and was told there was no way to get one . So I ended up spending 000 . 00 for a room for a week that I didn ' t have to spend . I think the policy needs to be revisited for occasions such as the one I stated . I have used this site on several occasions but will now consider other avenues . I will not recommend this site to any of my business partners nor friends .
5,Fitness & Nutrition,834810,M,22,"Supplement warehouse always has the best prices on supplements , lots of free samples , and cheap closeout deals . I have been ordering from them for 0 years and I have always been pleased with their service ."
5,Taxi Operator,4658134,F,46,Suntransfers are excellent . They were waiting at the airport on our arrival and also picked us up from our hotel for the return trip . Very prompt friendly and helpful drivers . Would definetly use them again .
5,Electronics,2449377,M,32,They really take care of you at Squaretrade ... my wife broke her iPhone 0S for the 0rd time ! And they didn ' t miss a beat .... told them I wanted to take it to the Apple Store to get it replaced ... and I got a replacement emailed the receipt and in 00 hours ... money was back in my paypal account .
5,Pets,2449377,M,31,No need to run to my local pet store and get charged more and pay for gas !
3,Gaming,2438347,M,18,Took a while to receive my key since it was out of stock but in the end I got it after a couple of hours .
4,Computer Accessories,1858798,M,32,"Good price compared to other sites selling this replacement , fast shipping and looks great ( no dead pixels )!"
